time,value,gender,age,became_member_on,income,reward,offer_received,offer_viewed,offer_completed,transaction,offer_views_missed,informational,bogo,discount,total_reward_completed,total_duration_completed,total_difficulty_completed,difficulty_offered,duration_offered,last_time_offer_received,last_time_offer_completed,first_time_offer_received,first_time_offer_completed,mean_time_between_actions,amount_of_completed_user_paths,email,social,web,mobile
696,127.60000000000001,M,33.0,20170421,72000.0,25.0,5,4,3,8,1,4,3,5,9.0,1.1,1.25,5.416666666666668,6.083333333333333,576,576,0,False,26.400000000000002,0,12.0,8.0,10.0,12.0
654,79.46000000000001,O,40.0,20180109,57000.0,39.0,5,5,3,5,0,4,3,6,13.0,1.3333333333333333,1.7777777777777775,7.384615384615386,6.615384615384616,504,576,0,False,36.333333333333336,2,13.0,5.0,11.0,10.0
708,196.86,F,59.0,20160304,90000.0,50.0,5,3,3,8,2,2,4,5,14.0,1.3157894736842106,1.5789473684210529,8.181818181818183,7.090909090909092,504,510,0,False,37.26315789473684,1,11.0,11.0,8.0,11.0
672,154.04999999999998,F,24.0,20161111,60000.0,39.0,4,4,3,12,0,2,6,3,13.0,0.8260869565217391,0.7391304347826085,4.636363636363638,5.7272727272727275,504,600,0,False,27.39130434782609,3,11.0,8.0,9.0,11.0
696,48.34000000000001,F,26.0,20170621,73000.0,22.0,5,4,3,18,1,4,0,8,9.0,1.0,1.3333333333333333,8.333333333333334,7.833333333333334,504,696,0,False,23.200000000000003,0,12.0,8.0,10.0,10.0
696,68.50999999999999,F,19.0,20160809,65000.0,15.0,5,2,1,17,3,2,0,6,2.0,0.4,0.4,8.75,7.5,576,258,0,False,27.84,0,8.0,5.0,6.0,7.0
714,138.36,F,55.0,20180508,74000.0,21.0,3,2,2,6,1,1,3,3,7.0,1.1538461538461535,1.1538461538461535,6.42857142857143,7.0,576,714,0,False,53.53846153846154,2,7.0,6.0,7.0,7.0
690,347.37999999999994,M,54.0,20160331,99000.0,62.0,5,4,5,12,1,0,8,6,24.0,1.4230769230769231,1.5384615384615383,7.857142857142858,7.42857142857143,576,576,0,False,20.076923076923077,3,14.0,14.0,12.0,14.0
588,20.360000000000007,M,56.0,20171209,47000.0,72.0,5,3,1,4,2,0,8,1,5.0,0.5384615384615384,0.3846153846153847,8.88888888888889,7.0,576,582,0,False,45.230769230769226,1,9.0,6.0,3.0,9.0
672,144.14000000000001,M,54.0,20160821,91000.0,34.0,4,3,3,5,1,2,3,5,13.0,1.6,2.1333333333333333,7.6000000000000005,7.0,576,576,0,False,44.800000000000004,1,10.0,3.0,10.0,8.0
702,375.11999999999995,F,58.0,20171207,119000.0,81.0,6,3,5,15,3,1,5,8,32.0,1.3448275862068966,2.4137931034482762,12.85714285714286,7.571428571428571,576,666,0,False,24.20689655172414,0,14.0,5.0,11.0,9.0
696,121.85000000000001,F,28.0,20170908,68000.0,25.0,5,4,2,7,1,6,5,0,10.0,0.7777777777777778,0.5555555555555556,2.2727272727272734,5.1818181818181825,504,450,0,False,38.666666666666664,1,11.0,2.0,9.0,11.0
684,62.93,M,26.0,20141221,61000.0,29.0,6,2,3,17,4,1,2,8,9.0,0.8571428571428571,0.8928571428571429,9.090909090909093,7.818181818181818,576,540,0,False,24.42857142857143,1,11.0,3.0,11.0,10.0
624,6.26,M,71.0,20171023,41000.0,60.0,5,3,0,4,2,0,7,1,0.0,0.0,0.0,9.375,6.375,576,0,0,False,52.0,0,8.0,6.0,6.0,7.0
606,16.18,M,24.0,20170910,42000.0,52.0,6,5,0,7,1,4,6,1,0.0,0.0,0.0,5.454545454545454,4.818181818181818,576,0,0,False,33.666666666666664,0,11.0,10.0,5.0,11.0
576,279.15999999999997,F,62.0,20160617,81000.0,95.0,5,5,4,12,0,0,11,3,25.0,0.9615384615384616,1.5384615384615383,10.0,6.071428571428571,576,540,0,False,22.153846153846153,3,14.0,11.0,14.0,11.0
594,105.83,M,61.0,20180214,66000.0,42.0,5,3,2,9,2,0,2,8,7.0,1.0526315789473684,1.5789473684210529,12.0,8.1,576,420,0,False,31.263157894736842,0,10.0,5.0,10.0,8.0
600,166.4,F,88.0,20151024,54000.0,35.0,5,5,1,11,0,6,5,0,5.0,0.2272727272727273,0.2272727272727273,3.1818181818181817,4.454545454545454,504,534,0,False,27.272727272727273,1,11.0,5.0,11.0,11.0
696,218.04999999999995,M,55.0,20151115,83000.0,72.0,6,5,4,8,1,2,5,8,26.0,1.2173913043478262,1.478260869565217,7.466666666666668,6.466666666666668,576,618,0,False,30.26086956521739,2,15.0,13.0,8.0,15.0
600,20.53,M,21.0,20180106,59000.0,32.0,3,2,0,5,1,0,4,1,0.0,0.0,0.0,8.0,6.2,576,0,0,False,52.2,0,5.0,4.0,3.0,5.0
702,133.25,M,72.0,20170407,102000.0,44.0,5,5,3,5,0,2,2,9,8.0,1.3333333333333333,1.3333333333333333,7.0769230769230775,7.0769230769230775,576,702,0,False,39.0,3,13.0,13.0,9.0,13.0
702,163.92000000000002,M,62.0,20160825,80000.0,36.0,5,2,3,10,3,3,2,5,17.0,1.35,2.0,9.0,7.4,576,606,0,False,35.1,2,10.0,7.0,6.0,8.0
678,219.63,M,50.0,20170627,104000.0,70.0,3,2,3,8,1,0,6,2,25.0,1.375,2.5,12.5,7.0,576,582,0,False,31.875,1,8.0,6.0,5.0,6.0
636,53.550000000000004,F,68.0,20180622,76000.0,34.0,4,4,0,4,0,0,6,2,0.0,0.0,0.0,6.25,7.25,576,0,0,False,47.5,0,8.0,4.0,8.0,8.0
702,150.64000000000001,M,44.0,20160111,72000.0,55.0,5,4,5,8,1,0,3,11,19.0,1.727272727272727,2.136363636363636,9.35714285714286,7.642857142857143,576,618,0,False,31.90909090909091,4,14.0,9.0,11.0,14.0
504,63.49999999999999,M,59.0,20171016,77000.0,43.0,4,2,1,3,2,0,4,3,10.0,0.7000000000000001,1.0,8.428571428571429,7.0,504,282,0,False,50.400000000000006,1,7.0,5.0,4.0,7.0
